Id,year,PM25 microgram per cubic metter,Province,Country name,LC_urban_areas,Average_wind_speed,Pop density heads per Sqkm,Average_precipitation,Maximum_temperature,Cars,Buses,Trucks,Motorcycles,Green_area
28,2014.0,13.9652602096,Sulawesi Utara,Indonesia,152549938.209,2.67619117647,141.68160247,405.435588235,26.2375294118,71485.94069423943,1110.2804454939796,47622.71268005879,517118.3717380115,14197760019.575161
28,2015.0,12.0623397601,Sulawesi Utara,Indonesia,158340356.108,1.46630882353,145.160841311,204.811911765,28.2403823529,78123.0,1126.0,50011.0,555832.0,14192038535.267063
28,2016.0,11.929798793,Sulawesi Utara,Indonesia,158685023.84,1.63832352941,148.371134111,121.836617647,29.1102941176,86484.0,1185.0,53702.0,595256.0,14191693867.44216
28,2017.0,12.4677392031,Sulawesi Utara,Indonesia,158685023.84,1.42266176471,151.821197176,366.6975,28.1739705882,96982.0,1247.0,56924.0,635055.0,14191762801.058859
28,2018.0,12.3103659048,Sulawesi Utara,Indonesia,158685023.84,1.53985294118,155.390873519,185.1925,27.7747058824,107540.0,1306.0,60195.0,683148.0,14191762801.07946
28,2019.0,11.9014687152,Sulawesi Utara,Indonesia,158753957.386,1.82132352941,159.089044944,321.238529412,28.7604411765,117122.0,1329.0,63537.0,730409.0,14191693867.47136
28,2020.0,11.1434502107,Sulawesi Utara,Indonesia,160132628.314,1.60279411765,162.766153608,214.164852941,29.28,119266.0,1333.0,64441.0,744342.0,14190315196.61446
28,2021.0,12.0741149478,Sulawesi Utara,Indonesia,163729278.92520472,1.43602941176,166.02511025519027,358.199558824,28.8173529412,127406.0,1358.0,68111.0,795264.0,14190433915.475065
28,2022.0,12.3484591266,Sulawesi Utara,Indonesia,167974849.14031926,1.46323529412,169.3031530933223,321.471176471,28.3289705882,137480.0,1378.0,71999.0,848200.0,14190050185.402912
29,2012.0,16.0154588796,Sumatera Barat,Indonesia,212039588.762,2.0612703252,101.074246455,196.781961382,28.8131605691,189428.2498527961,3180.699263754065,100477.51960802036,1315647.4404761905,41723062968.805336
29,2013.0,15.7042947852,Sumatera Barat,Indonesia,244162621.39,1.78460873984,102.433027609,252.738058943,28.6346595528,199135.49805808495,3282.638212876507,104349.12036359511,1407215.9880952383,41691491404.618546
29,2014.0,22.4119422973,Sumatera Barat,Indonesia,275665252.1,1.62378556911,103.951099684,305.742327236,27.8722560976,208842.74626337376,3384.577161998949,108220.72111916987,1498784.535714286,41660402375.10573
29,2015.0,25.7237149166,Sumatera Barat,Indonesia,292898638.703,1.60322154472,105.289263535,231.840345528,28.5515904472,215376.0,3429.0,111430.0,1577617.0,41643237922.06973
29,2016.0,16.4627307539,Sumatera Barat,Indonesia,293587974.167,1.41737296748,106.703138869,325.549237805,29.3445630081,227434.0,3568.0,115095.0,1675730.0,41642341786.01783
29,2017.0,13.9696732116,Sumatera Barat,Indonesia,294415176.724,2.30368394309,108.178941542,296.778861789,28.4716463415,239318.0,3692.0,120291.0,1780673.0,41641514583.471436
29,2018.0,14.057382763,Sumatera Barat,Indonesia,294966645.095,1.86427845528,109.637189886,198.313414634,29.0638211382,252002.0,3855.0,125415.0,1886532.0,41640963115.03183
29,2019.0,20.7462713146,Sumatera Barat,Indonesia,295104512.188,1.61880081301,111.19270524,310.402693089,29.5075203252,261992.0,4016.0,128992.0,1979526.0,41640825247.95993
29,2020.0,13.5363710833,Sumatera Barat,Indonesia,302273601.015,1.61158536585,112.77604247,224.063262195,29.624695122,265241.0,4034.0,130326.0,2022227.0,41633656159.17741
29,2021.0,13.5809016709,Sumatera Barat,Indonesia,315082253.9997199,1.7162601626,114.08290491156153,186.577845528,29.0365345528,274513.0,4092.0,134620.0,2127501.0,41620967387.31895
29,2022.0,14.429320382,Sumatera Barat,Indonesia,326906348.9717458,1.58013211382,115.53869665524411,210.566615854,29.0567073171,285988.0,4137.0,139170.0,2236938.0,41609242788.20225
30,2012.0,22.9949878283,Sumatera Selatan,Indonesia,142209906.247,2.03450749202,74.6221660237,430.193195775,30.1684352739,221369.52336414676,5578.464318984271,254740.4462493411,2077850.845242753,85987430059.65764
30,2013.0,15.2964714106,Sumatera Selatan,Indonesia,157582087.097,1.87326455416,75.2751235871,230.386612626,29.6505526898,240291.8650459454,5678.392860968064,262198.825086124,2197379.1190560404,85972816147.75046
30,2014.0,29.5397012917,Sumatera Selatan,Indonesia,175780543.35,1.96674035863,75.9284152007,242.183394743,28.4806755097,259214.20672774402,5778.321402951857,269657.2039229069,2316907.392869328,86019415225.25052
30,2015.0,48.5519106756,Sumatera Selatan,Indonesia,188671116.529,1.75171702284,76.5982390786,255.034586097,29.6134954557,275188.0,5863.0,277964.0,2430833.0,86006524652.10751
30,2016.0,13.8945197181,Sumatera Selatan,Indonesia,190118721.003,1.1102309015,77.2574067964,355.80110538,29.9458364038,294623.0,5970.0,282242.0,2532010.0,86005214914.67581
30,2017.0,13.6529614773,Sumatera Selatan,Indonesia,195495537.623,1.53232866618,77.9323185771,307.771898796,30.161262589,317427.0,6049.0,291049.0,2676008.0,85997976892.29239
30,2018.0,16.9211404641,Sumatera Selatan,Indonesia,209213313.359,1.58179808401,78.6239187777,180.152419553,29.6048882338,340912.0,6209.0,301826.0,2827944.0,85985086319.0738
30,2019.0,27.0596848875,Sumatera Selatan,Indonesia,213280392.598,1.5120363547,79.3141468932,319.020191599,30.540800786,360474.0,6348.0,310153.0,2954630.0,85985430986.8295
30,2020.0,12.8833837783,Sumatera Selatan,Indonesia,219277611.135,1.48685826578,80.0140724161,331.685310734,30.7197740113,366969.0,6366.0,312038.0,3006479.0,85978468698.5965
30,2021.0,14.1336058193,Sumatera Selatan,Indonesia,232339368.2353333,1.73672316384,80.6978529471237,291.529280275,29.8711864407,387151.0,6469.0,320677.0,3137227.0,85986884335.76134
30,2022.0,14.2194716361,Sumatera Selatan,Indonesia,242864371.91842255,1.39253254729,81.36466575217173,241.973446328,30.322770818,412129.0,6550.0,329830.0,3273146.0,85985630894.1084
31,2012.0,23.0771211765,Sumatera Utara,Indonesia,634946895.998,1.73254142012,158.267936296,134.279112426,29.7666982249,401937.04232942086,3995.2404418014253,195962.10714285716,4048400.7380946362,70338549954.60579
31,2013.0,23.3387059444,Sumatera Utara,Indonesia,665484457.058,1.66443491124,160.255056706,304.351065089,29.759260355,434924.1272951434,4210.966451765792,204564.57142857145,4276750.297618089,70308425994.75348
31,2014.0,29.1867654015,Sumatera Utara,Indonesia,701881369.563,1.81865384615,162.231731335,254.555384615,28.9365739645,467911.21226086596,4426.692461730158,213167.03571428574,4505099.857141543,70290916874.04549
31,2015.0,31.7103702112,Sumatera Utara,Indonesia,731660661.613,1.69850591716,164.300361929,212.897455621,29.6576390533,494493.0,4583.0,221163.0,4710627.0,70262102651.70549
31,2016.0,23.3267392504,Sumatera Utara,Indonesia,732970398.995,1.62704142012,166.388670379,272.813727811,30.3365976331,527409.0,4801.0,229301.0,4945245.0,70260792914.25912
31,2017.0,20.5580529145,Sumatera Utara,Indonesia,734349069.923,2.02582248521,168.48143272,366.141360947,29.224260355,569698.0,5055.0,238914.0,5182720.0,70259414243.37013
31,2018.0,21.4511939121,Sumatera Utara,Indonesia,734693737.655,1.46304733728,170.696414094,365.627100592,29.3477810651,612923.0,5383.0,250037.0,5468662.0,70259069575.58304
31,2019.0,28.1654469322,Sumatera Utara,Indonesia,735107338.934,1.56328402367,172.882928709,240.615207101,30.7172781065,647775.0,5686.0,259046.0,5724881.0,70259138509.11804
31,2020.0,20.5432941051,Sumatera Utara,Indonesia,748687247.577,1.67822485207,175.09700029,214.446893491,30.6415384615,658330.0,5744.0,261748.0,5821157.0,70245558600.43164
31,2021.0,20.7160524973,Sumatera Utara,Indonesia,763943374.0826559,1.63177514793,177.24850445517646,215.599378698,29.8236982249,690785.0,5926.0,271985.0,6073095.0,70232635454.56407
31,2022.0,20.7579084062,Sumatera Utara,Indonesia,779848226.9453492,1.65426035503,179.3213650040419,256.572514793,30.0762130178,730953.0,6069.0,282831.0,6334996.0,70220862544.78346
32,2012.0,10.709289833,Yogyakarta,Indonesia,124838652.551,2.32433333333,939.806712139,460.774666667,29.1179333333,270169.3689278086,2294.833214022265,41253.19602341559,1728753.130245449,3043416074.073213
32,2013.0,11.6514011568,Yogyakarta,Indonesia,142623507.526,2.14933333333,950.021904659,475.104666667,29.6542,281334.06004632235,2462.986188676334,43637.56913537295,1824066.5083927184,3025631219.099293
32,2014.0,12.4940115348,Yogyakarta,Indonesia,163027837.264,2.18473333333,960.5022604,434.485333333,27.8514666667,292498.7511648361,2631.139163330403,46021.94224733031,1919379.8865399875,3005226889.3619933
32,2015.0,11.2334741003,Yogyakarta,Indonesia,164957976.563,1.88113333333,971.008025598,397.495333333,28.6192,298223.0,2679.0,47759.0,1989874.0,3003365683.608893
32,2016.0,11.7228023185,Yogyakarta,Indonesia,164957976.563,1.1536,981.676388057,295.938666667,28.448,312746.0,2908.0,50445.0,2105008.0,3003365683.607893
32,2017.0,8.66111325321,Yogyakarta,Indonesia,164957976.563,2.3002,992.454848248,454.746666667,29.348,328935.0,3181.0,53308.0,2206320.0,3003365683.607893
32,2018.0,8.93332054702,Yogyakarta,Indonesia,164957976.563,2.414,1003.87374221,246.919333333,28.926,344084.0,3386.0,56549.0,2321234.0,3003365683.6084933
32,2019.0,10.5236468414,Yogyakarta,Indonesia,164957976.563,1.89133333333,1014.92433138,342.191333333,29.7473333333,356506.0,3678.0,59361.0,2441874.0,3003365683.608693
32,2020.0,10.1170825455,Yogyakarta,Indonesia,166750248.77,1.58866666667,1026.43371992,413.337333333,30.0993333333,359776.0,3759.0,60129.0,2487138.0,3001573411.4022927
32,2021.0,10.2770441482,Yogyakarta,Indonesia,177879186.87386104,1.71733333333,1037.1288019477352,485.086,29.2293333333,368188.0,3802.0,62329.0,2572810.0,2990473195.6090045
32,2022.0,11.6051055813,Yogyakarta,Indonesia,181854354.7169444,2.02933333333,1047.8582359881566,231.138,29.434,378599.0,3836.0,64660.0,2661870.0,2986508367.7979465
33,2012.0,15.6433215298,Johor,Malaysia,301170664.272,1.1243575419,150.176857233,270.516312849,30.2121675978,,768.3333841967204,,123206.99965811706,18680715343.359863
33,2013.0,21.0260766035,Johor,Malaysia,350251349.318,1.47758659218,153.835190536,273.203463687,30.3149050279,,683.3333670428468,,109990.49931623423,18632048259.59963
33,2014.0,17.2349404526,Johor,Malaysia,380857843.924,2.17868156425,157.539018443,143.955418994,29.4532960894,,598.3333498889733,,96773.99897435142,18614952740.081802
33,2015.0,25.9582426732,Johor,Malaysia,394644553.207,1.82004469274,161.453972204,221.86,30.1490391061,,513.3333327350997,,83557.49863246859,18601166030.810802
33,2016.0,13.28419053,Johor,Malaysia,410981803.706,1.0474972067,165.480755599,205.61027933,31.2002234637,,428.3333155812262,,70340.99829058576,18585449182.223747
33,2017.0,11.4008432589,Johor,Malaysia,434488143.033,0.637910614525,169.654217778,356.038882682,29.9929608939,,343.3332984273527,,57124.49794870295,18561942842.91369
33,2018.0,12.9917348042,Johor,Malaysia,448757387.14,0.934301675978,173.928585562,429.257541899,30.0360893855,,258.3332812734791,,43907.99760682012,18547673598.79945
33,2019.0,18.005426457,Johor,Malaysia,454961406.317,1.50324022346,178.414630476,126.160446927,31.9455865922,,170.0,,28966.0,18539332639.677284
33,2020.0,9.82462182403,Johor,Malaysia,470402520.713,1.99810055866,183.024149148,127.43027933,31.7758659218,,95.0,,20926.0,18523753658.193863
33,2021.0,10.9327969062,Johor,Malaysia,495706879.1313558,2.23318435754,187.3011755367817,425.035307263,30.2227932961,,0.0,,2533.0,18497333144.493706
