Province,Cars,Buses,Trucks,Motorcycles,Total,year
Nusa Tenggara Timur,58062,3660,46649,795011,903382,2020
Kalimantan Barat,141397,1560,94785,2343626,2581368,2020
Kalimantan Tengah,90135,1472,65645,1224863,1382115,2020
Kalimantan Selatan,219216,2969,134013,2274317,2630515,2020
Kalimantan Timur,266296,6047,181981,2607262,3061586,2020
Kalimantan Utara,12385,113,7922,128750,149170,2020
Sulawesi Utara,119266,1333,64441,744342,929382,2020
Sulawesi Tengah,83966,917,47260,1024025,1156168,2020
Sulawesi Selatan,503113,3677,185605,3513739,4206134,2020
Sulawesi Tenggara,180130,509,35733,698407,914779,2020
Gorontalo,33978,333,25140,368600,428051,2020
Sulawesi Barat,19221,320,11353,311452,342346,2020
Maluku,23700,451,13062,267263,304476,2020
Maluku Utara,18747,120,11345,244970,275182,2020
Papua Barat,34585,341,16614,287292,338832,2020
Papua,32984,838,23830,385846,443498,2020
Indonesia,15797746,233545,5083405,115023039,136137735,2020
Aceh,166601,1129,67996,2086599,2322325,2021
Sumatera Utara,690785,5926,271985,6073095,7041791,2021
Sumatera Barat,274513,4092,134620,2127501,2540726,2021
Riau,354651,5204,202038,3431855,3993748,2021
Jambi,171178,35048,135609,2099801,2441636,2021
Sumatera Selatan,387151,6469,320677,3137227,3851524,2021
Bengkulu,107540,842,49347,925394,1083123,2021
Lampung,286139,3019,178707,3330518,3798383,2021
Kepulauan Bangka Belitung,81599,1186,45495,971047,1099327,2021
Kepulauan Riau,148035,2137,27381,891379,1068932,2021
DKI Jakarta,3544491,36339,713059,16711638,21005527,2021
Jawa Barat,3724610,21405,412893,12689632,16848540,2021
Jawa Tengah,1405334,34208,589100,16800332,18828974,2021
DI Yogyakarta,368188,3802,62329,2572810,3007129,2021
Jawa Timur,1950975,35920,755847,20031818,22774560,2021
Banten,247020,3573,82260,2371748,2704601,2021
Bali,466300,9405,154802,3862637,4493144,2021
Nusa Tenggara Barat,99787,2628,75070,1740049,1917534,2021
Nusa Tenggara Timur,59532,3715,49167,841384,953798,2021
Kalimantan Barat,152238,1586,100871,2480295,2734990,2021
Kalimantan Tengah,97136,1521,70320,1299078,1468055,2021
Kalimantan Selatan,229545,3102,139610,2379834,2752091,2021
Kalimantan Timur,280669,6338,190642,2714292,3191941,2021
Kalimantan Utara,13601,116,8596,143955,166268,2021
Sulawesi Utara,127406,1358,68111,795264,992139,2021
Sulawesi Tengah,89833,941,50220,1090209,1231203,2021
Sulawesi Selatan,530350,3856,196633,3702188,4433027,2021
Sulawesi Tenggara,187061,529,38972,754730,981292,2021
Gorontalo,35981,340,26639,396839,459799,2021
Sulawesi Barat,21082,295,12734,333988,368099,2021
Maluku,24674,460,13749,286360,325243,2021
Maluku Utara,19906,135,12363,268416,300820,2021
Papua Barat,35601,359,17458,303320,356738,2021
Papua,34010,846,24303,400646,459805,2021
Indonesia,16413522,237829,5299603,120045878,141996832,2021
Aceh,174357,1192,70339,2199349,2445237,2022
Sumatera Utara,730953,6069,282831,6334996,7354849,2022
Sumatera Barat,285988,4137,139170,2236938,2666233,2022
Riau,380031,5257,213214,3617512,4216014,2022
Jambi,182405,35085,140912,2212623,2571025,2022
Sumatera Selatan,412129,6550,329830,3273146,4021655,2022
Bengkulu,111205,847,51324,968268,1131644,2022
Lampung,300216,3046,185084,3435735,3924081,2022
Kepulauan Bangka Belitung,85430,1196,46879,1019620,1153125,2022
Kepulauan Riau,156687,2153,28454,937213,1124507,2022
DKI Jakarta,3766059,37180,748395,17304447,21856081,2022
Jawa Barat,3814187,21849,435808,13361669,17633513,2022
Jawa Tengah,1456793,34538,608969,17495636,19595936,2022
DI Yogyakarta,378599,3836,64660,2661870,3108965,2022
Jawa Timur,2034087,36410,780404,20740868,23591769,2022
Banten,264447,3615,87934,2514383,2870379,2022
Bali,474878,9417,157894,3928946,4571135,2022
Nusa Tenggara Barat,103006,2657,77897,1823899,2007459,2022
Nusa Tenggara Timur,61351,3758,51835,889591,1006535,2022
Kalimantan Barat,165655,1606,107319,2622369,2896949,2022
Kalimantan Tengah,105801,1559,75273,1376228,1558861,2022
